date,latitude,longitude,magnitude
2014-10-01 07:16:00,36.9695,29.3695,4.2
2014-09-28 08:22:00,38.8686,40.9686,4.1
2014-09-20 23:24:00,41.849,35.949,4.0
2014-09-20 02:52:00,39.12,38.72,4.2
2014-09-12 22:55:00,36.2308,31.0308,4.4
2014-09-04 21:00:00,36.1301,30.9301,5.2
2014-09-04 03:53:00,41.6883,32.4883,4.1
2014-08-24 19:43:00,37.6368,30.6368,4.8
2014-08-15 04:00:00,37.0876,27.3876,4.0
2014-08-13 09:42:00,36.9545,27.6545,4.1
2014-08-11 22:23:00,40.3166,26.0166,4.1
2014-08-03 22:22:00,40.5678,29.1678,4.0
2014-07-20 14:07:00,41.7155,35.8155,4.2
2014-07-20 02:46:00,36.71,28.11,4.0
2014-07-18 03:58:00,38.2198,26.6198,4.0
2014-07-16 11:59:00,40.2518,26.2518,4.0
2014-07-15 12:25:00,39.1041,29.0041,4.1
2014-07-12 21:58:00,36.5845,35.8845,4.0
2014-07-10 18:31:00,36.5845,27.2845,4.2
2014-07-09 23:45:00,40.4645,26.2645,4.2
2014-07-03 05:04:00,40.1231,27.9231,4.5
2014-06-23 10:13:00,40.0891,36.3891,4.0
2014-06-20 13:59:00,36.3753,28.5753,4.3
2014-06-09 03:38:00,36.6651,36.0651,4.5
2014-05-28 03:59:00,40.377,26.177,4.1
2014-05-25 11:47:00,40.441,26.041,4.5
2014-05-25 11:38:00,40.4851,26.1851,4.8
2014-05-24 15:01:00,40.3345,26.1345,4.0
2014-05-24 14:49:00,40.3231,26.0231,4.5
2014-05-24 11:18:00,40.3146,26.2146,4.0
2014-05-24 10:35:00,40.3291,26.1291,4.3
2014-05-24 10:11:00,40.3786,26.1786,4.6
2014-05-24 09:33:00,40.4166,26.2166,4.4
2014-05-24 09:31:00,40.3058,26.3058,5.3
2014-05-05 05:05:00,36.0761,31.0761,4.3
2014-05-03 04:46:00,36.3631,28.8631,4.1
2014-05-01 17:33:00,37.0613,27.4613,4.1
2014-05-01 14:16:00,38.051,27.051,4.1
2014-05-01 07:36:00,39.4521,37.3521,4.2
2014-04-19 23:39:00,37.0783,28.8783,4.0
2014-04-16 23:49:00,36.2651,31.3651,4.2
2014-03-26 14:00:00,38.1763,38.5763,4.0
2014-03-02 04:25:00,36.7893,35.1893,4.2
2014-02-22 15:42:00,37.4001,36.4001,4.4
2014-02-14 00:33:00,36.737,36.037,4.5
2014-01-29 10:02:00,36.062,29.062,4.1
2014-01-13 10:51:00,39.8363,26.1363,4.1
2014-01-10 13:20:00,37.247,36.247,4.0
2014-01-10 07:20:00,39.4588,27.9588,4.0
2014-01-07 19:41:00,39.741,26.141,4.0
2013-12-28 15:21:00,36.032,31.332,6.0
2013-12-25 18:11:00,36.9406,31.0406,4.1
2013-12-08 17:31:00,36.657,31.257,5.0
2013-11-27 04:21:00,40.808,27.908,4.0
2013-11-27 04:13:00,40.8051,27.9051,4.5
2013-11-24 20:49:00,40.776,31.876,4.9
2013-11-07 06:39:00,37.342,36.242,4.1
2013-10-30 03:17:00,36.9408,27.5408,4.0
2013-10-23 12:24:00,36.3323,34.3323,4.5
2013-10-18 01:26:00,36.7967,27.3967,4.3
2013-09-18 18:22:00,39.6773,41.6773,4.3
2013-09-17 23:14:00,39.0833,41.3833,4.0
2013-09-17 20:40:00,39.0988,41.3988,4.9
2013-09-16 10:31:00,39.0348,41.4348,4.5
2013-08-29 06:20:00,40.359,27.459,4.3
2013-08-28 06:26:00,38.3065,38.9065,4.2
2013-08-17 18:16:00,40.4193,29.1193,4.5
2013-08-07 05:20:00,39.216,29.416,4.4
2013-07-31 13:18:00,36.031,31.331,4.0
2013-07-28 18:57:00,40.9733,34.3733,4.4
2013-07-26 00:22:00,36.0673,35.8673,4.3
2013-07-25 23:05:00,37.3428,26.8428,4.1
2013-07-24 12:59:00,41.7902,32.3902,4.0
2013-07-21 21:43:00,41.1258,33.5258,4.3
2013-07-17 11:44:00,36.1278,31.2278,4.0
2013-06-30 13:16:00,36.0278,27.5278,4.0
2013-06-27 23:03:00,36.7353,31.2353,4.1
2013-06-21 18:26:00,36.6318,27.9318,4.2
2013-06-16 20:31:00,38.1793,37.0793,4.1
2013-06-09 15:15:00,38.884,26.784,4.0
2013-06-09 14:18:00,39.122,29.022,4.1
2013-06-04 04:12:00,38.6748,37.3748,4.3
2013-05-29 14:43:00,39.1983,29.0983,4.0
2013-05-16 21:26:00,37.0715,28.3715,4.2
2013-05-16 21:21:00,37.01,28.41,4.4
2013-05-16 03:02:00,36.9208,28.4208,4.6
2013-05-15 16:52:00,36.9023,30.5023,4.3
2013-05-15 07:09:00,39.0835,41.1835,4.4
2013-05-06 18:33:00,37.33,37.13,4.3
2013-05-01 06:50:00,37.214,37.114,4.4
2013-05-01 06:47:00,37.3017,37.1017,4.2
2013-04-28 16:30:00,36.9677,27.7677,4.2
